Time (s),Linear Acceleration x1 (m/s^2),Linear Acceleration x2 (m/s^2),Linear Acceleration x3 (m/s^2)
2,-0.013929665,0.010305882,0.004648328
2.005,-0.040806413,0.009692937,-0.060003161
2.01,-0.076907158,-0.019426376,-0.086082518
2.015,-0.050849974,0.003779501,-0.088203371
2.02,0.008302033,0.00288263,-0.118908167
2.025,-0.035098851,-0.0027363,-0.064047098
2.03,-0.02342397,0.010654628,-0.043056369
2.035,-0.007013679,-0.018927902,-0.020056784
2.04,0.035550296,-0.053011984,0.021664798
2.045,0.104060113,-0.046579093,0.01072827
2.05,0.079567611,-0.097336769,0.00941208
2.055,0.036606908,-0.076712519,0.048372805
2.06,0.024993479,-0.068258166,0.023018509
2.065,0.02543813,-0.05524236,0.040594757
2.07,-0.019344926,-0.05202657,0.010510355
2.075,-0.040233433,0.01999408,0.028144121
2.08,-0.073038697,0.055892378,0.057437956
2.085,-0.046356559,0.056018054,0.027101964
2.09,-0.070019543,0.068122089,0.025603741
2.095,-0.041278541,0.073306799,0.064653188
2.1,-0.060319662,0.08095026,0.041760027
2.105,-0.050691664,0.08395794,0.023964137
2.11,-0.005451441,0.008721173,-0.010160029
2.115,-0.022200763,0.036170185,0.020212859
2.12,-0.050646305,0.006362557,-0.023012578
2.125,-0.12635839,-0.006607771,-0.004055351
2.13,-0.106494606,0.018388778,-0.006560355
2.135,-0.139128745,-0.032874167,-0.016230434
2.14,-0.114486814,0.013630509,-0.009311944
2.145,-0.161260724,-0.028204679,0.011746705
2.15,-0.18878442,-0.022275895,0.035020977
2.155,-0.19008553,0.002597034,0.053179622
2.16,-0.224666476,-0.060659409,0.047414631
2.165,-0.233001649,-0.068880975,0.065360725
2.17,-0.257988453,-0.108044475,0.023740828
2.175,-0.202102661,-0.106588453,-0.017484456
2.18,-0.244057894,-0.088592887,-0.006135136
2.185,-0.212321281,-0.103985339,-0.028087527
2.19,-0.247872353,-0.169193059,-8.0198E-05
2.195,-0.295639217,-0.195987552,0.023024142
2.2,-0.296222746,-0.213325649,-0.018214852
2.205,-0.309185624,-0.199730843,0.009755194
2.21,-0.384061217,-0.197928548,0.054126352
2.215,-0.349668086,-0.191092312,0.022297293
2.22,-0.437290192,-0.271885693,0.064410716
2.225,-0.380075037,-0.30192697,0.084805489
2.23,-0.416529417,-0.404796571,0.066821665
2.235,-0.360455692,-0.593961477,0.063153744
2.24,-0.414357603,-0.781000912,0.128287762
2.245,-0.358643472,-1.075425029,0.126451761
2.25,-0.322268844,-1.388874173,0.162650615
2.255,-0.361944795,-1.666370869,0.186694741
2.26,-0.410503209,-1.915403485,0.184503615
2.265,-0.532193065,-2.359775066,0.182522237
2.27,-0.639094532,-2.993951082,0.137981892
2.275,-0.772271872,-3.803148746,0.141438574
2.28,-0.80109483,-4.402942181,0.171045452
2.285,-0.804752767,-5.15455246,0.152858943
2.29,-0.776162624,-5.943892956,0.087547004
2.295,-0.758021772,-6.558850765,0.075406581
2.3,-0.851606607,-7.047871113,-0.005182296
2.305,-1.03422904,-7.509617329,-0.058809876
2.31,-1.278846502,-8.273943901,-0.130888969
2.315,-1.556991816,-8.481072426,-0.076363057
2.32,-1.80224371,-8.754031181,-0.114628673
2.325,-1.978696942,-8.734014511,-0.230301827
2.33,-2.206027031,-8.593383789,-0.315805525
2.335,-2.736617804,-8.379348755,-0.468618482
2.34,-3.447893143,-7.904952526,-0.576734781
2.345,-3.917492867,-7.004511356,-0.787368774
2.35,-4.240411758,-5.945601463,-1.088092804
2.355,-4.460875511,-4.853086472,-1.530599833
2.36,-4.617800713,-3.748368979,-2.049856424
2.365,-4.768768311,-2.761593342,-2.556718349
2.37,-4.848508835,-1.815501451,-3.062762976
2.375,-4.858904839,-0.983464777,-3.784361839
2.38,-4.881697178,-0.223614633,-4.642603397
2.385,-5.046227455,0.632898569,-5.391569614
2.39,-5.243053913,1.427594423,-6.238890171
2.395,-5.124584198,2.380208015,-7.184953213
2.4,-4.682990074,3.167738438,-7.918354988
2.405,-4.242365837,3.611252785,-8.599240303
2.41,-3.771535158,3.904613972,-9.127512932
2.415,-3.246555567,4.147049904,-9.413777351
2.42,-2.641451359,4.614545345,-9.380216599
2.425,-2.014109612,5.001731873,-9.261679649
2.43,-1.491258621,5.221171379,-9.034165382
2.435,-1.032406926,5.180048466,-8.63282299
2.44,-0.406080395,5.15329361,-8.089746475
2.445,0.218008697,5.346478939,-7.46468401
2.45,0.855303884,5.568326473,-6.66870594
2.455,1.452308536,5.746706486,-5.813555717
2.46,2.084888458,6.122780323,-4.960902214
2.465,2.716621876,6.7567029,-4.122196674
2.47,3.229959011,7.939015865,-3.203027487
2.475,3.696344852,9.236694336,-2.361919641
2.48,4.067196846,10.83920765,-1.594450831
2.485,4.391338348,12.42455101,-0.666900992
2.49,4.571390152,14.16363525,0.111837864
2.495,4.538451195,16.55294037,0.870764256
2.5,4.25395298,19.72839165,1.59280026
2.505,3.661529303,23.21388817,2.268258333
2.51,3.141402006,26.73490524,2.849172115
2.515,2.714916468,30.21657181,3.385393858
2.52,2.590517998,33.36213684,3.89785099
2.525,2.726961136,35.53589249,4.373538971
2.53,3.242265224,35.95401001,4.852106094
2.535,4.100182056,36.57396317,5.131389618
2.54,5.364318371,37.10453415,5.30056572
2.545,6.903367519,36.17120361,5.422492504
2.55,8.67212677,34.61228943,5.494956493
2.555,10.74502373,32.3188858,5.474560261
2.56,12.95941734,30.1930542,5.312651634
2.565,15.36996651,28.23894882,5.175458908
2.57,18.71730232,25.67549324,5.075895309
2.575,22.98565674,21.31307793,5.026667595
2.58,27.992136,14.06700039,5.305957317
2.585,32.78188324,3.710343361,6.042377472
2.59,37.1548233,-10.8269434,7.287356377
2.595,40.81155014,-30.68645287,8.497676849
2.6,42.92583466,-48.49926376,9.953414917
2.605,43.8615799,-70.52050018,11.40190315
2.61,42.45933533,-74.23425293,12.61681461
2.615,39.39504242,-74.09276581,14.87249184
2.62,34.82900238,-74.00289917,17.21306801
2.625,32.11579895,-71.66725922,20.10217857
2.63,29.23772049,-53.72714233,24.10162163
2.635,24.73365211,-35.46120834,28.58356094
2.64,17.3994751,-20.65917778,32.85463333
2.645,6.279835224,-10.62517738,36.8614502
2.65,-10.71036911,-5.455534458,39.67119598
2.655,-30.9432869,-4.247848988,42.578022
2.66,-47.14493942,-5.612115383,42.89505768
2.665,-62.79764175,-5.607099056,42.10270691
2.67,-74.05357361,-6.346086502,40.57380295
2.675,-73.98219299,-7.047874451,38.42557526
2.68,-73.98522186,-7.46562624,34.96704865
2.685,-60.14265823,-7.029955387,30.36630821
2.69,-49.18036652,-6.130810738,25.06082535
2.695,-34.6681366,-5.234969616,18.47976112
2.7,-18.42889786,-4.351406097,9.673091888
2.705,-6.679801464,-3.470382214,-2.811507702
2.71,-1.936744213,-2.723432064,-19.42585373
2.715,-2.311255932,-1.909883499,-37.65999603
2.72,-4.501068592,-1.036416292,-51.71873474
2.725,-7.627161503,0.030235887,-74.35430908
2.73,-8.730098724,1.162603259,-74.10102844
2.735,-10.22788811,1.978868484,-73.99680328
2.74,-11.12982082,2.673518658,-73.94005585
