Time (s),Linear Acceleration y1 (m/s^2),Linear Acceleration y2 (m/s^2),Linear Acceleration y3 (m/s^2)
2,0.007870197,-0.101935387,-0.036516666
2.005,0.016207218,-0.1051054,0.030292988
2.01,0.029054165,-0.101059914,0.010782242
2.015,0.003554821,-0.099300385,-0.025422573
2.02,0.027910233,-0.087938309,0.007353306
2.025,0.023245335,-0.074177742,0.044558525
2.03,0.034905434,-0.057976723,0.02208662
2.035,0.010632992,-0.022799492,0.002231598
2.04,0.024434566,-0.049437523,0.037299156
2.045,0.042764664,-0.03537178,0.022380352
2.05,0.044291973,-0.042823792,0.041055202
2.055,0.03632021,-0.012379646,0.045498848
2.06,0.052244663,0.003321648,0.01911211
2.065,0.072898865,0.033013344,0.040602207
2.07,0.060257435,-0.0113554,-0.006865025
2.075,0.024044514,0.051235199,0.036349297
2.08,0.09733963,0.041956902,0.019949436
2.085,0.072714329,-0.012561798,-0.012965202
2.09,0.086245537,0.049589157,0.016028881
2.095,0.080661297,0.056468964,0.004230022
2.1,0.056065083,0.05618,-0.026619434
2.105,0.093371391,0.108039856,0.006666183
2.11,0.063899994,0.095340729,-0.038901329
2.115,0.06313324,0.149228096,-0.005940437
2.12,0.100259304,0.129038811,0.000620842
2.125,0.077686787,0.132726669,-0.009586811
2.13,0.078895092,0.164903641,0.03004694
2.135,0.086961269,0.158823967,0.00059557
2.14,0.08293581,0.169498444,0.030743599
2.145,0.066892624,0.163526535,0.029875278
2.15,0.148209095,0.183716774,0.024433136
2.155,0.083927155,0.168124199,0.040543556
2.16,0.160196781,0.166935921,0.040100098
2.165,0.131345272,0.198992729,0.016057491
2.17,0.185910225,0.211755753,0.025620461
2.175,0.185470104,0.181612015,0.032893181
2.18,0.182719707,0.168211937,0.028301239
2.185,0.208552361,0.176076889,-0.02382946
2.19,0.189160347,0.162297249,0.00746727
2.195,0.21035099,0.17209816,-0.016337872
2.2,0.229055405,0.198307037,-0.018776417
2.205,0.195218563,0.198078156,-0.040486336
2.21,0.163852692,0.178757668,-0.04087925
2.215,0.187208652,0.218891144,-0.005791187
2.22,0.179402351,0.270648003,-0.02804184
2.225,0.150011539,0.277108192,-0.040548801
2.23,0.134706974,0.288468361,-0.069475651
2.235,0.164311409,0.292888641,-0.038590431
2.24,0.169505119,0.349750519,-0.033854485
2.245,0.212325573,0.442075729,-0.017062187
2.25,0.183359146,0.453245163,-0.02628994
2.255,0.235228539,0.405403137,-0.023211479
2.26,0.324633121,0.652954102,-0.038822174
2.265,0.299449444,0.716220856,-0.058783054
2.27,0.329107761,0.77745533,-0.037947655
2.275,0.313403606,0.826892853,-0.038516045
2.28,0.295289516,0.840613365,-0.08902216
2.285,0.326808453,0.785504341,-0.063161373
2.29,0.33616209,0.62475872,-0.087500095
2.295,0.249914646,0.684321404,-0.106973171
2.3,0.301718235,0.773177147,-0.097882271
2.305,0.319741249,0.82006073,-0.105614185
2.31,0.242778778,1.021849632,-0.104014397
2.315,0.316033363,0.583765984,-0.081362247
2.32,0.217280388,0.619524002,0.014439106
2.325,0.348705292,0.084048271,0.078412533
2.33,0.525291443,-0.529267311,0.14429903
2.335,0.473560333,-0.95201683,0.245703697
2.34,0.366105556,-1.317638397,0.304206371
2.345,0.359730721,-1.658176422,0.434312344
2.35,0.585388184,-1.980897903,0.566672325
2.355,0.731695652,-2.373673439,0.648989677
2.36,0.612176895,-2.787917137,0.693795204
2.365,0.501908302,-3.08017683,0.758151531
2.37,0.278759003,-3.382491589,0.853663921
2.375,0.124236584,-3.638284206,0.998962879
2.38,-0.086368084,-3.970570564,1.038423538
2.385,-0.277284145,-4.444821835,1.043979645
2.39,-0.423099995,-4.865937233,0.902311325
2.395,-0.632321358,-5.304591179,0.828832626
2.4,-0.816973686,-5.595088005,0.844257355
2.405,-1.130061626,-5.873661518,0.818947315
2.41,-1.52270937,-6.190731049,0.643261909
2.415,-1.993399143,-6.546909809,0.320893288
2.42,-2.35176754,-6.976322174,0.033243179
2.425,-2.823535442,-7.319795609,-0.324345589
2.43,-3.237250805,-7.700392246,-0.697929382
2.435,-3.624934673,-8.159711838,-0.891710758
2.44,-4.10933733,-8.738936424,-1.034971237
2.445,-4.463843822,-9.457333565,-1.189558029
2.45,-4.806602478,-10.24110317,-1.36212635
2.455,-5.190923691,-11.06203651,-1.533158302
2.46,-5.610681057,-11.95376301,-1.786233902
2.465,-5.818719387,-12.95928574,-2.152561665
2.47,-6.080550194,-13.85673904,-2.50605011
2.475,-6.40587616,-14.67863464,-2.945477962
2.48,-6.587162495,-15.55151367,-3.426315784
2.485,-6.833128452,-16.20109177,-3.92828846
2.49,-7.015116215,-16.7056427,-4.419488907
2.495,-7.198257446,-16.95056343,-4.920912266
2.5,-7.411667824,-16.68442345,-5.343811989
2.505,-7.765357971,-16.09305191,-5.848453522
2.51,-8.414054871,-15.4795208,-6.270027637
2.515,-9.234386444,-15.13411331,-6.618797302
2.52,-10.23195934,-15.3605566,-7.029375553
2.525,-11.31671524,-15.82739162,-7.34479475
2.53,-12.51852226,-16.59043121,-7.606777668
2.535,-13.74128151,-17.42760658,-7.823733807
2.54,-14.83269691,-18.83289337,-8.039777756
2.545,-15.87388992,-20.37181091,-8.274962425
2.55,-16.63652802,-21.27809525,-8.554189682
2.555,-17.32585907,-23.03006744,-8.909383774
2.56,-17.82276344,-26.31703758,-9.372099876
2.565,-17.83964157,-30.44849014,-9.990131378
2.57,-17.56322861,-34.59028244,-10.6626339
2.575,-17.01389885,-39.0250206,-11.58971977
2.58,-16.02850342,-44.57222748,-12.62417126
2.585,-15.24349213,-51.46079254,-13.75283813
2.59,-15.11305332,-58.23392487,-14.94645119
2.595,-15.59207344,-62.48425674,-16.1746006
2.6,-16.28611755,-60.98125458,-17.46489334
2.605,-17.45992851,-47.51245117,-18.45853424
2.61,-18.85755539,-41.25489044,-19.35984993
2.615,-21.63364792,-27.16049767,-19.46105766
2.62,-23.12737465,-19.1730423,-20.32521057
2.625,-26.67455864,-16.33537674,-20.43846893
2.63,-31.80262756,-18.80615997,-20.6060257
2.635,-38.63061523,-24.83721542,-19.76324844
2.64,-46.57649231,-29.24484634,-18.80672836
2.645,-55.10079956,-29.391716,-18.37502861
2.65,-63.20842361,-25.3302269,-18.63737106
2.655,-68.79862976,-19.86072922,-19.22968864
2.66,-66.19960022,-15.36128807,-19.74998474
2.665,-54.19641876,-11.99841499,-20.62840271
2.67,-45.75873947,-8.675843239,-21.6756897
2.675,-30.03509521,-5.613138199,-23.92876816
2.68,-12.78011513,-3.328167915,-27.88540649
2.685,-3.52191782,-1.711781979,-33.7375412
2.69,-4.62515974,-0.445878029,-40.57885742
2.695,-14.25829601,0.626669884,-46.91253662
2.7,-22.59843636,1.223576069,-53.42518997
2.705,-23.71143341,1.286373138,-60.61265945
2.71,-20.3927803,0.960167408,-67.18845367
2.715,-16.1630497,0.208781719,-70.38188934
2.72,-12.48545074,-0.678197384,-66.47102356
2.725,-9.29202652,-1.623286247,-50.7171402
2.73,-6.376790047,-2.462258339,-39.06296921
2.735,-3.226343632,-3.145104885,-25.2626915
2.74,-0.937101841,-3.788518906,-16.44798279
2.745,0.448858261,-4.316923618,-12.29013443
2.75,1.261893272,-4.886180878,-17.70173264
2.755,1.874732494,-5.213892937,-26.76164627
2.76,2.457158566,-5.364040852,-31.09797478
2.765,2.844379902,-5.492822647,-29.3739109
2.77,2.950648785,-5.571656227,-24.0626564
2.775,2.655222416,-5.524013519,-18.03087997
2.78,1.970160484,-5.383725643,-12.84763527
2.785,1.077649593,-5.371161461,-9.455879211
2.79,0.333683968,-5.30286932,-6.200526714
2.795,-0.46547699,-5.289891243,-2.935419798
2.8,-1.216804028,-5.328810215,-0.566221714
2.805,-1.934513092,-5.349457741,0.431441307
2.81,-2.458304882,-5.310580254,1.232851982
2.815,-2.859640598,-5.695104122,1.746712685
2.82,-3.097088337,-5.845460415,2.279651642
2.825,-3.190750599,-5.93442297,2.273118496
2.83,-3.286647797,-5.998016357,1.719319344
2.835,-3.326890945,-6.01499176,0.766481876
2.84,-3.439702511,-6.071584702,-0.264016628
2.845,-3.300826073,-6.10141468,-1.126704693
2.85,-3.401842117,-6.148622513,-1.797615051
2.855,-3.482459068,-6.26205492,-2.381135941
2.86,-3.574282169,-6.358902931,-2.952105999
2.865,-3.706692696,-6.46605587,-3.494026661
2.87,-3.820932865,-6.488425732,-3.837362289
2.875,-3.994643688,-6.60824585,-4.130196571
2.88,-4.207602501,-6.66332531,-4.433939457
2.885,-4.501856327,-6.728355885,-4.687511444
2.89,-4.735625744,-6.832477093,-4.784128666
2.895,-4.963576317,-6.84687376,-4.757925034
2.9,-5.19255352,-6.903450012,-4.779069901
2.905,-5.486987591,-7.023914337,-4.828754425
2.91,-5.739181519,-7.127070427,-4.845219612
2.915,-6.095243931,-7.172455311,-4.905753613
2.92,-6.371364594,-7.303631783,-5.035186768
