Time (s),Linear Acceleration z1 (m/s^2),Linear Acceleration z2 (m/s^2),Linear Acceleration z3 (m/s^2)
2,0.117529392,-0.071233273,0.139186382
2.005,0.133983135,-0.095561981,0.183485508
2.01,0.167254925,-0.110394478,0.15892601
2.015,0.174429417,-0.099192619,0.077847958
2.02,0.158237457,-0.088286877,0.052111149
2.025,0.1402421,-0.101508141,-0.032761097
2.03,0.103707314,-0.06970644,0.025423527
2.035,0.103248119,-0.010024071,-0.064321041
2.04,0.074462414,0.041844368,-0.070473194
2.045,0.041232109,0.071960926,-0.100670815
2.05,0.039152145,0.135305405,-0.043027878
2.055,0.020398617,0.096416473,-0.066699505
2.06,0.020663261,0.138765335,-0.069056511
2.065,0.030286312,0.128873348,-0.026395798
2.07,0.061096668,0.133699894,-0.041176796
2.075,0.075008392,0.14343071,-0.001379013
2.08,0.102980614,0.10594511,0.026258469
2.085,0.107004166,0.102211952,0.053806782
2.09,0.103849411,0.103506088,0.052930832
2.095,0.164903641,0.126161098,0.052312851
2.1,0.149507999,0.094169617,0.05204916
2.105,0.09387064,0.071993351,0.061641693
2.11,0.126590729,0.109357357,0.021609306
2.115,0.068965912,0.084729195,0.019920826
2.12,0.128204823,0.048484325,-0.038567066
2.125,0.158650875,0.086089611,-0.001441002
2.13,0.167802334,0.052154541,0.013871193
2.135,0.169941902,0.089577675,-0.011310577
2.14,0.203164101,0.079109669,-0.007950783
2.145,0.195899963,0.068723679,-0.033363819
2.15,0.143697262,0.120154858,-0.032660961
2.155,0.151343822,0.07139492,-0.06314373
2.16,0.161324501,0.061024666,-0.053222656
2.165,0.178218365,0.129137039,-0.041269779
2.17,0.251866341,0.154045105,0.003568649
2.175,0.258337975,0.22167778,0.021822929
2.18,0.262286663,0.24160862,0.075679779
2.185,0.353881836,0.299701691,0.055644512
2.19,0.292615891,0.227177143,0.071737289
2.195,0.376512051,0.195816517,0.083254337
2.2,0.376720428,0.245587826,0.071380615
2.205,0.455446243,0.195387363,0.040960789
2.21,0.457693577,0.216946602,-0.000870705
2.215,0.512211323,0.212088108,0.007616043
2.22,0.549939156,0.240138054,-0.081391811
2.225,0.568789482,0.322239399,-0.112822056
2.23,0.523729801,0.403249741,-0.101600647
2.235,0.531781673,0.504606247,-0.152546883
2.24,0.487913609,0.61888361,-0.208163261
2.245,0.477919102,0.722193241,-0.187694073
2.25,0.449203014,0.804942131,-0.151315689
2.255,0.511006355,1.109217167,-0.198832512
2.26,0.479595661,1.293689251,-0.160879135
2.265,0.552888393,1.536934376,-0.090394497
2.27,0.646891117,1.912448406,-0.037308693
2.275,0.702212811,2.360111713,-0.043874741
2.28,0.850004673,2.668534279,0.001890659
2.285,0.930647373,3.273313522,0.047460079
2.29,0.989861965,4.439040661,0.035820007
2.295,0.906541348,5.560512066,0.095665932
2.3,0.84544611,6.650411129,0.169478416
2.305,0.865476608,7.739902496,0.205050468
2.31,1.037360668,8.408333778,0.255033493
2.315,1.327135563,8.682037354,0.283640385
2.32,1.713031292,9.032936096,0.288536549
2.325,1.931165695,9.294355392,0.333699226
2.33,2.127808094,9.461790085,0.406359673
2.335,2.36742878,9.533459663,0.446608543
2.34,2.589929581,9.021669388,0.663357735
2.345,2.828727722,8.100453377,0.846102715
2.35,3.088888168,7.217281818,1.135260105
2.355,3.325356483,6.462215424,1.453602314
2.36,3.471665382,5.897037506,1.872454643
2.365,3.636024475,5.385491371,2.248775959
2.37,3.79042244,4.887678146,2.782577038
2.375,4.047929764,4.242327213,3.547274113
